English Name,Hebrew Name,(Transliterated),Greek Name,(Transliterated),Other Language?,Name In Other Language,(Transliterated)
Jesus,יְהוֹשֻׁעַ,Yehoshu'a,Ἰησοῦς,Iesous,N/A,N/A,N/A
Adam,אָדָם,Ādām,N/A,N/A,N/A,N/A,N/A
Eve,חַוָּה,Chavvāh,N/A,N/A,N/A,N/A,N/A
Cain,קַיִן,Kayin,N/A,N/A,N/A,N/A,N/A
Abel,הֶבֶל,Hevel,N/A,N/A,N/A,N/A,N/A
Eden,עֵדֶן,Ēden,N/A,N/A,N/A,N/A,N/A
Enoch,חֲנוׄךּ,Chanok,N/A,N/A,N/A,N/A,N/A
Nod,נוׄד,Nod,N/A,N/A,N/A,N/A,N/A
Irad,עִירָד,Īrād,N/A,N/A,N/A,N/A,N/A
Mehujael,מְחוּיָאֵל,Mechuyā'ēl,N/A,N/A,N/A,N/A,N/A
Methushael,מְתוּשָׁאֵל,Mechushā'ēl,N/A,N/A,N/A,N/A,N/A
Lamech,לֶמֶךּ,Lemek,N/A,N/A,N/A,N/A,N/A
Adah,עָדָה,Ādāh,N/A,N/A,N/A,N/A,N/A
Zillah,צִלָּה,Tsillāh,N/A,N/A,N/A,N/A,N/A
Jabal,יָבָל,Yāvāl,N/A,N/A,N/A,N/A,N/A
Jubal,יוּבָל,Yuvāl,N/A,N/A,N/A,N/A,N/A
Tubal-cain,קַיִןתּוּבַל,Kayintuval,N/A,N/A,N/A,N/A,N/A
Naamah,נַעֲמָה,Na'amāh,N/A,N/A,N/A,N/A,N/A
Seth,שֵׁת,Shēth,N/A,N/A,N/A,N/A,N/A
Enosh,אֱנוׄשׁ,Enosh,N/A,N/A,N/A,N/A,N/A
Kenan,קֵינָן,Kēynān,N/A,N/A,N/A,N/A,N/A
Mahalalel,מַהֲלַלְאֵל,Mahalalēl,N/A,N/A,N/A,N/A,N/A
Jared,יֶרֶד,Yērēd,N/A,N/A,N/A,N/A,N/A
Noah,נׂחַ,Noach,N/A,N/A,N/A,N/A,N/A
Shem,שֵׁם,Shem,N/A,N/A,N/A,N/A,N/A
Ham,חָם,Chām,N/A,N/A,N/A,N/A,N/A
Japheth,יֶפֶת,Yefeth,N/A,N/A,N/A,N/A,N/A
Canaan,כְּנַעַן,Kena'an,N/A,N/A,N/A,N/A,N/A
Gomer,גּׂמֶר,Gomer,N/A,N/A,N/A,N/A,N/A
Magog,מָגוׄג,Māgog,N/A,N/A,N/A,N/A,N/A
Madai,מָדַי,Māday,N/A,N/A,N/A,N/A,N/A
Javan,יָוָן,Yāvān,N/A,N/A,N/A,N/A,N/A
Tubal,תּוּבַל,Tuval,N/A,N/A,N/A,N/A,N/A
Meshech,מֶשֶׁךּ,Meshek,N/A,N/A,N/A,N/A,N/A
Tiras,תִּירָס,Tirās,N/A,N/A,N/A,N/A,N/A